,Year,Term Number,Department,Course Number,Number of Sections,Enrollments,Median GPA Points,Average Section Size
1240,,2.0,ENVS,28.0,1.0,24.0,3.333333333333333,24.0
1241,2022.0,2.0,,50.0,1.0,24.0,4.0,24.0
1242,2022.0,2.0,,55.0,1.0,39.0,3.6666666666666665,39.0
1243,2022.0,,ENVS,7.15,2.0,31.0,4.0,15.5
1244,2022.0,2.0,ENVS,7.17,1.0,14.0,3.6666666666666665,14.0
1245,2022.0,2.0,ENVS,85.0,1.0,14.0,,14.0
1246,2022.0,2.0,FILM,20.0,1.0,28.0,3.6666666666666665,28.0
1247,2022.0,2.0,FILM,34.0,1.0,11.0,4.0,11.0
1248,2022.0,2.0,FILM,,,11.0,3.666666666666666,11.0
1249,2022.0,2.0,FILM,7.2,1.0,16.0,4.0,16.0
1250,,,FILM,41.04,1.0,26.0,3.6666666666666665,26.0
1251,,,FILM,42.16,1.0,19.0,4.0,19.0
1252,2022.0,2.0,FILM,42.2,1.0,12.0,3.8333333333333335,12.0
1253,2022.0,2.0,FILM,44.04,1.0,13.0,4.0,13.0
1254,2022.0,2.0,FILM,44.06,1.0,10.0,3.6666666666666665,10.0
1255,2022.0,2.0,FILM,44.1,1.0,13.0,4.0,13.0
1256,2022.0,2.0,FILM,,1.0,18.0,4.0,18.0
1257,2022.0,2.0,FILM,,1.0,12.0,,
1258,2022.0,2.0,FILM,,1.0,18.0,3.5,18.0
1259,2022.0,2.0,FILM,48.02,1.0,11.0,4.0,11.0
1260,2022.0,2.0,FREN,1.0,1.0,10.0,4.0,10.0
1261,2022.0,2.0,FREN,3.0,3.0,40.0,3.6666666666666665,13.333333333333334
1262,,,FREN,8.0,,31.0,3.817204301075269,15.5
1263,2022.0,2.0,FREN,21.0,1.0,10.0,4.0,10.0
1264,2022.0,,GEOG,1.02,1.0,23.0,3.333333333333333,23.0
1265,2022.0,2.0,GEOG,27.0,1.0,18.0,4.0,
1266,2022.0,2.0,GEOG,28.0,1.0,21.0,,21.0
1267,2022.0,2.0,GEOG,43.0,1.0,18.0,3.6666666666666665,18.0
1268,2022.0,2.0,GEOG,55.0,1.0,16.0,4.0,
1269,2022.0,2.0,GEOG,7.19,,16.0,4.0,
1270,2022.0,2.0,GEOG,8.01,1.0,21.0,3.6666666666666665,
1271,2022.0,2.0,GEOG,86.0,1.0,12.0,3.6666666666666665,12.0
1272,2022.0,2.0,GEOG,9.01,1.0,22.0,3.5,22.0
1273,2022.0,,GEOG,21.01,1.0,23.0,3.6666666666666665,23.0
1274,2022.0,2.0,GEOG,30.02,1.0,17.0,3.6666666666666665,17.0
1275,2022.0,2.0,GEOG,36.01,1.0,12.0,3.6666666666666665,12.0
1276,2022.0,2.0,GEOG,37.01,1.0,12.0,3.8333333333333335,
1277,2022.0,2.0,GEOG,40.04,1.0,,,27.0
1278,2022.0,2.0,GEOG,62.01,1.0,12.0,4.0,12.0
1279,,2.0,GEOG,80.1,1.0,14.0,4.0,14.0
1280,2022.0,2.0,GERM,2.0,1.0,18.0,3.6666666666666665,18.0
1281,2022.0,2.0,GERM,,1.0,23.0,4.0,23.0
1282,2022.0,,GERM,14.0,1.0,233.0,4.0,233.0
1283,2022.0,2.0,GERM,7.07,1.0,,4.0,16.0
1284,2022.0,2.0,GERM,43.04,1.0,12.0,3.8333333333333335,12.0
1285,2022.0,2.0,GERM,44.07,1.0,10.0,3.6666666666666665,10.0
1286,2022.0,2.0,GERM,46.04,1.0,,4.0,15.0
1287,2022.0,2.0,GOVT,4.0,,39.0,3.333333333333333,
1288,2022.0,2.0,GOVT,5.0,3.0,57.0,3.4152046783625734,19.0
1289,2022.0,2.0,GOVT,,1.0,28.0,3.333333333333333,
1290,2022.0,2.0,GOVT,10.0,1.0,26.0,,26.0
1291,2022.0,2.0,GOVT,16.0,2.0,48.0,3.333333333333333,24.0
1292,,2.0,GOVT,52.0,1.0,32.0,,32.0
1293,2022.0,2.0,GOVT,53.0,1.0,29.0,3.333333333333333,29.0
1294,2022.0,2.0,GOVT,69.0,1.0,42.0,3.6666666666666665,42.0
1295,2022.0,2.0,GOVT,7.03,1.0,15.0,3.6666666666666665,15.0
1296,2022.0,2.0,GOVT,94.0,1.0,11.0,3.666666666666666,11.0
1297,2022.0,2.0,GOVT,95.0,1.0,11.0,4.0,11.0
1298,2022.0,2.0,GOVT,,1.0,32.0,3.6666666666666665,32.0
1299,2022.0,2.0,GOVT,20.1,,30.0,3.6666666666666665,30.0
1300,2022.0,,GOVT,30.04,1.0,19.0,3.333333333333333,19.0
1301,,2.0,GOVT,30.09,1.0,,,
1302,2022.0,2.0,GOVT,40.15,1.0,32.0,3.333333333333333,32.0
1303,2022.0,2.0,GOVT,40.23,1.0,22.0,3.333333333333334,22.0
1304,2022.0,2.0,GOVT,50.03,1.0,26.0,,26.0
1305,,2.0,GOVT,60.17,1.0,15.0,4.0,15.0
1306,2022.0,2.0,GOVT,,1.0,,3.333333333333333,27.0
1307,2022.0,2.0,GOVT,83.21,1.0,,3.6666666666666665,14.0
1308,2022.0,2.0,GOVT,83.24,1.0,17.0,3.6666666666666665,17.0
1309,2022.0,2.0,GOVT,84.26,1.0,17.0,3.6666666666666665,17.0
1310,2022.0,2.0,GOVT,,1.0,16.0,3.6666666666666665,16.0
1311,2022.0,2.0,GOVT,85.4,1.0,16.0,3.6666666666666665,16.0
1312,2022.0,2.0,,85.44,1.0,15.0,3.6666666666666665,15.0
1313,2022.0,2.0,GOVT,86.27,1.0,16.0,3.6666666666666665,16.0
1314,2022.0,2.0,GOVT,86.43,1.0,15.0,4.0,15.0
1315,2022.0,2.0,GRK,,,10.0,4.0,10.0
1316,2022.0,2.0,GRK,3.02,,10.0,4.0,10.0
1317,2022.0,2.0,HIST,15.0,1.0,15.0,3.6666666666666665,15.0
1318,2022.0,2.0,HIST,,1.0,31.0,3.6666666666666665,31.0
1319,2022.0,2.0,HIST,28.0,1.0,14.0,3.6666666666666665,14.0
1320,2022.0,,HIST,3.03,1.0,13.0,3.6666666666666665,13.0
1321,2022.0,2.0,HIST,37.0,1.0,12.0,3.8333333333333335,12.0
1322,,2.0,HIST,39.0,1.0,,3.6666666666666665,16.0
1323,2022.0,2.0,HIST,,1.0,30.0,,30.0
1324,2022.0,2.0,HIST,5.05,1.0,36.0,3.6666666666666665,36.0
1325,2022.0,2.0,HIST,50.0,1.0,14.0,3.333333333333333,
1326,2022.0,2.0,HIST,56.0,1.0,21.0,3.6666666666666665,21.0
1327,,2.0,HIST,7.19,1.0,13.0,4.0,13.0
1328,,2.0,,7.27,,16.0,4.0,16.0
1329,2022.0,2.0,HIST,7.35,,,4.0,
1330,2022.0,2.0,HIST,72.0,1.0,14.0,4.0,14.0
1331,2022.0,,HIST,,1.0,12.0,4.0,12.0
1332,,2.0,HIST,8.06,1.0,28.0,4.0,28.0
1333,2022.0,2.0,HIST,31.02,,32.0,,
1334,2022.0,,HIST,31.03,1.0,25.0,4.0,25.0
1335,2022.0,2.0,HIST,40.02,1.0,12.0,4.0,12.0
